Year;Official exchange rate (LCU per US$, period average);Inflation, consumer prices (annual %);Total reserves (includes gold, current US$);Total reserves in months of imports;Total reserves minus gold (current US$);Foreign direct investment, net inflows (% of GDP);Foreign direct investment, net inflows (BoP, current US$);Personal remittances, received (current US$);GDP (current US$);Lending interest rate (%);External debt stocks, total (DOD, current US$);External debt stocks (% of GNI);Total debt service (% of GNI);Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$);Total debt service (% of exports of goods, services and primary income);Exports of goods and services (current US$);Imports of goods and services (current US$)
1994;613.467166666666;38.9417908989239;71640029.0217707;0.8330447990731713;71640029.0217707;0.1626271608211431;5728097.91776414;12743958.47;3522227092.2283926;28.2777777777778;4096453461.6;121.66875226812925;1.9386542415478678;50270211.9;9.917487582059746;705142895.935945;829101112.7576776
1995;853.126333333333;49.0802100590784;108960783.853207;1.126395784850237;108960783.853207;0.25299407748384195;9710167.97434065;9102989.43610931;3838100903.7497377;34.7541666666667;4322004158.1;117.7221166336966;1.5865755868535951;39756097.9;7.7031341133551825;805498306.6616935;936020464.275131
1996;812.250333333334;19.7563545439776;240880919.48601702;2.5143903284248026;240880919.48601702;0.20604578510972338;10161891.7977257;6241918.029376;4931861038.707632;35.5;4145801222.5;86.9302334296664;1.7352506813033959;61627521.9;10.514939685797863;839642514.3724749;930030558.3254222
1997;1018.17716666667;4.48638261737399;281600527.28725;3.22767517159085;281600527.28725;0.328537056882296;14005421.1259566;12184519.9501134;4262965419.74998;30.3333333333333;4108929981.9;98.58264247807831;5.086968829512579;193154301.4;32.12009493203468;688168058.3787831;883747058.5313175
1998;1088.27966666667;6.2080160866332;171378012.996065;1.9148354505406724;171378012.996065;0.3779089532255497;16635429.8022046;11462127.2289384;4401967632.737184;27;4393975739.9;101.62568352919352;2.899933756997243;109046085.5;18.000134445917528;722467461.0225903;920883327.9616902
1999;1256.755;9.92953399348781;227186728.905518;2.5207671960687525;227186728.905518;1.3648106388905277;58385285.9149158;11621994.7404228;4277903780.2913055;27.25;4781749985.1;112.89874152435517;3.7831791767371024;140304301.2;21.35072149008787;784850753.48815;965856215.411914
2000;1353.49616666667;11.859684500028;285182984.805489;2.80775035903233;285182984.805489;1.7919237632545295;82952580.7054987;11270072.5540781;4629247203.84524;26.875;4726029557;103.0194079279036;2.5687509225449787;102176057.8;13.938685675516316;885096717.0858637;1095162037.7215297
2001;1317.69883333333;7.91694484529586;398349960.538685;3.6534223539010604;398349960.538685;1.7111719861957535;93059224;10871296.0869891;5438332601.907981;25.5;4184263804.7;78.12326096716629;1.2649785625633787;62235957;6.521602495349371;1091486917.4813938;1140139723.0348766
2002;1366.39116666667;16.4985255315846;363272345.666928;2.4507690661292534;363272345.666928;0.27396516088160755;14661798.0720596;29323596.1441193;5351701663.408074;25.25;4543888332.4;87.05329975724082;1.2423776263398223;58559505.8;5.730030122455595;1167504458.33349;1518069983.835017
2003;1238.32766666667;-1.70400479616298;414272747.15771;3.404971422030693;414272747.15771;0.2020257237059334;12874087;16231547.7;6372498889.665848;24.25;4979583730.9;79.09941656329163;1.121283336114811;64840409.6;8.526088794908231;872660373.5003201;1295939419.562367
2004;1868.85783333333;13.9558018033211;503524275.98802304;3.6508501331895284;503524275.98802304;1.0446898563867022;52910748.0000001;11506654.2;5064732626.293891;24.5625;3824731184.5;76.6389141389255;1.658406180498751;74852032.9;8.883859752149379;985460548.2449237;1484882131.695033
2005;2003.02583333333;18.3638246468932;481286830.74636304;2.516729100380407;481286830.74636304;1.45800803699285;85428623.9021933;101672956.266869;5859269752.61332;25.875;3525441335.7;61.452350981239746;1.3881259351235327;66423457.9;5.912672214780254;1424938434.1814427;2039652747.1545596
2006;2142.30166666667;10.7656371554865;583182459.275841;2.787174274113617;583182459.275841;4.607492002806281;294681941.542683;150260189.029423;6395712490.943041;28.15;1526991065.5;24.436941653995365;0.9713965813456247;57400585.6;3.647287512351767;1757983978.0799646;2213935049.045546
2007;1873.87666666667;10.2879663187671;846677005.4929429;2.8708681432458873;846677005.4929429;9.26011530963958;789389724.084497;254488696.945114;8524620889.577468;40.275;2332269180.4;27.63793466165013;0.410073428719368;18559623.2;1.5014116425670387;2369521280.5592823;3316634031.6035323
2008;1708.37083333333;9.29650839381057;982306552.811993;2.397488856602641;982306552.811993;10.577930760914183;1134497642.4209;313991941.099283;10725137723.654873;44;2533049972.1;23.839753685464885;0.37078461959409104;25449573.2;1.4466946470606;2971635295.005063;5003293324.9569235
2009;1956.20583333333;8.95421802392949;982078789.679611;2.8811748354594937;982078789.679611;13.448542788128142;1293330142.26094;283721276.649106;9616879409.437893;44.6191666666667;2846880423.7;30.062022911435164;0.5269539066231373;41970787.4;2.494553839556628;1959518983.9616432;4042538711.211378
2010;2089.95;9.24732173644116;1022970696.36859;3.3594889714867646;1022970696.36859;9.138671338281117;912287179.835569;455825544.213646;9982711338.07029;46;2755972130.7;28.112487997505475;0.6320240376961529;53788032.1;2.7938149326253727;2183656264.1689997;3593827391.995024
2011;2025.1175;9.48254048582992;1134559589.73412;3.301208336320823;1134559589.73412;7.059792149716346;815534454.532063;335015246.964639;11551819617.874023;52.5;2867388363.7;25.285698212988457;0.44382395637457395;41799709.8;1.8206489648145288;2624531677.6927757;3900293293.5002537
2012;2194.96666666667;5.71384434191053;1052810915.82789;2.90517288851124;1052810915.82789;7.036805333555378;814789934.7302;330495619.941639;11578975061.947945;56.125;2993469808.1;26.708709189986436;0.6472129386113824;59422098.7;2.4975459084049625;2521980906.9200773;3574547936.2215753
2013;2206.91416666667;5.8264294445198;776146662.9565079;2.0182814621900267;776146662.9565079;4.5546453110489775;565848886.014277;357754330.944225;12423555455.38532;58.98;2940581583.4;24.50447699636736;0.6020870170850411;56881088.3;2.270882630295134;2891230458.3524837;4111627324.1994195
2014;2414.81166666667;6.08040811088302;773817323.366607;2.1118867273542485;773817323.366607;2.977511232975681;372872463.262776;344438244.030645;12522957399.228104;60;2963528296.3;24.34497960241018;0.8183626251796333;75197313;2.7746357259529715;3541731788.270344;4218673808.072172
2015;2933.50833333333;7.40419174202129;832008813.363757;2.5168824418616738;832008813.363757;2.8972772745315796;328059305.56932;326844541.396424;11323020701.301685;56.7166666666667;3007857304.8;27.60824653922399;1.2907320847149966;120076730.8;4.419531699760427;3214678738.4973826;3717317430.5757117
2016;3176.53916666667;6.03575858154679;1183690792.01019;3.4925035113641894;1183690792.01019;4.5646080317149496;540842779.829334;299204626.141945;11848613858.441998;60;2976805934.8;26.15943860813094;1.0810070946542498;96166320.8;3.5942250742646946;3447066213.6809726;3761002301.5340333
2017;3116.11;8.60905075422949;1600175022.3132598;3.8841418253798876;1600175022.3132598;3.527971510000568;464856589.648809;342776977.918857;13176313593.550934;60;3382906474.6;26.511710564834168;1.0338572225019385;114496087.5;3.1534077155600357;4071827552.9426107;4538023942.3512
2018;3334.75225490196;8.59422958870476;1739588290.2896202;3.913417883118618;1739588290.2896202;4.4479279872799315;612036371.422122;425502225.716378;13760033282.292511;55.3895833333333;3720119522.3;27.97172693703808;0.9866143065858834;100816035.8;2.9418942100968857;4339367350.693942;4995646270.880174
2019;3618.32185816072;5.61051441492365;1693147648.47775;3.8800063040462547;1693147648.47775;3.362798309946536;474311425.432437;407676204.197602;14104664678.506332;49;4044792622.6;29.71422720537226;0.9289639494374783;96963509.4;3.052740357746561;4009166482.2261925;4820540217.680104
2020;3787.75405817574;4.20179312190557;1980766598.34546;5.730640332604338;1980766598.34546;2.7465713235246776;358467141.414302;495356527.446368;13051441203.947355;48.8666666666667;4841435396.1;38.06825425363311;1.0419846595356808;103968381.6;5.031400127798779;2628831060.657001;3767772594.912233
2021;3829.97784932976;5.81225118787715;2334564597.58187;5.469465054697225;2334564597.58187;2.456494025263774;357536665.264704;439712454.828004;14554754116.542673;48.2833333333333;5344813135.2;37.38990565116506;1.1777358485780205;128774014.9;4.944575793775153;3314741894.2161093;4611346608.60019
2022;4096.11618374535;8.16059031991844;2159914363.96649;3.981706000906688;2159914363.96649;3.091231791570133;467848664.235502;385290310.633864;15134700203.049707;48.8333333333333;5937649294.4;40.2134615455429;1.4625884110501006;136085966.6;4.557838447472762;4597561354.206939;5823312898.6851015
2023;4429.57921419022;9.87432675044888;2631980575.49645;..;2631980575.49645;2.6253198031076903;414540970;385290310.633864;15790113246.747774;53.5833333333333;6452328515.3;41.776597333401085;1.7252195473797522;177570162.8;6.101332538010625;4242418132.563505;5354663357.827469
